SUBSTATION_ID,SUBSTATION_NAME,DISPLAY NAME,CAPACITY,DC CAPACITY,STATE_NAME,ENERGY TYPE,SUBSTATION_TYPE,Band,Tag
SS00140,Balambh,Balambh,33,33,IN_GJ,WIND,INTRA_STATE,0.12,
SS00155,Dhorasiya,Dhorasiya,32.25,32.25,IN_GJ,WIND,INTRA_STATE,0.12,
SS00159,Nanikundal,Nanikundal,26,26,IN_GJ,WIND,INTRA_STATE,0.12,
SS00160,Galla,Galla,26,28.6,IN_GJ,WIND,INTRA_STATE,0.12,
SS00161,Dasaramadian,Dasaramadian,15,15,IN_MP,WIND,INTRA_STATE,,
SS00162,Jitpura,Jitpura,15,15,IN_MP,WIND,INTRA_STATE,,
SS00163,Rangenahalli,Rangenahalli,10,11.8,IN_KA,SOLAR,INTRA_STATE,,
SS00164,Kalmarahalli,Kalmarahalli,20,21.6,IN_KA,SOLAR,INTRA_STATE,,
SS00165,Kamachipuram,Kamachipuram,49.5,49.5,IN_TN,WIND,INTRA_STATE,,
SS00166,Antipati,Antipati,49.5,49.5,IN_TN,WIND,INTRA_STATE,,
SS00167,Saundatti_WWIL,CLP_Saundatti,72,72,IN_KA,WIND,INTRA_STATE,,
SS00168,Basavapattna,Basavapattna,24.6,24.6,IN_KA,WIND,INTRA_STATE,,
SS00169,Gajendragad,Gajendragad,33.6,33.6,IN_KA,WIND,INTRA_STATE,,
SS00170,Chikkodi_Galataga,Chikkodi_Galataga,19.55,19.55,IN_KA,WIND,INTRA_STATE,,
SS00172,Andhra_Lake,Andhra Lake,106.4,106.4,IN_MH,WIND,INTRA_STATE,0.15,Daily
SS00173,Harapanahalli,Harapanahalli,39.6,39.6,IN_KA,WIND,INTRA_STATE,,
